areaType,areaName,areaCode,date,newAdmissions,cumAdmissions
nation,Northern Ireland,N92000002,2020-10-24,55,2761
nation,Northern Ireland,N92000002,2020-10-23,48,2706
nation,Northern Ireland,N92000002,2020-10-22,54,2658
nation,Northern Ireland,N92000002,2020-10-21,43,2604
nation,Northern Ireland,N92000002,2020-10-20,54,2561
nation,Northern Ireland,N92000002,2020-10-19,47,2507
nation,Northern Ireland,N92000002,2020-10-18,45,2460
nation,Northern Ireland,N92000002,2020-10-17,47,2415
nation,Northern Ireland,N92000002,2020-10-16,48,2368
nation,Northern Ireland,N92000002,2020-10-15,46,2320
nation,Northern Ireland,N92000002,2020-10-14,37,2274
nation,Northern Ireland,N92000002,2020-10-13,44,2237
nation,Northern Ireland,N92000002,2020-10-12,32,2193
nation,Northern Ireland,N92000002,2020-10-11,37,2161
nation,Northern Ireland,N92000002,2020-10-10,31,2124
nation,Northern Ireland,N92000002,2020-10-09,23,2093
nation,Northern Ireland,N92000002,2020-10-08,30,2070
nation,Northern Ireland,N92000002,2020-10-07,30,2040
nation,Northern Ireland,N92000002,2020-10-06,27,2010
nation,Northern Ireland,N92000002,2020-10-05,26,1983
nation,Northern Ireland,N92000002,2020-10-04,17,1957
nation,Northern Ireland,N92000002,2020-10-03,22,1940
nation,Northern Ireland,N92000002,2020-10-02,10,1918
nation,Northern Ireland,N92000002,2020-10-01,18,1908
nation,Northern Ireland,N92000002,2020-09-30,16,1890
nation,Northern Ireland,N92000002,2020-09-29,9,1874
nation,Northern Ireland,N92000002,2020-09-28,21,1865
nation,Northern Ireland,N92000002,2020-09-27,12,1844
nation,Northern Ireland,N92000002,2020-09-26,11,1832
nation,Northern Ireland,N92000002,2020-09-25,6,1821
nation,Northern Ireland,N92000002,2020-09-24,8,1815
nation,Northern Ireland,N92000002,2020-09-23,13,1807
nation,Northern Ireland,N92000002,2020-09-22,8,1794
nation,Northern Ireland,N92000002,2020-09-21,11,1786
nation,Northern Ireland,N92000002,2020-09-20,6,1775
nation,Northern Ireland,N92000002,2020-09-19,4,1769
nation,Northern Ireland,N92000002,2020-09-18,3,1765
nation,Northern Ireland,N92000002,2020-09-17,4,1762
nation,Northern Ireland,N92000002,2020-09-16,3,1758
nation,Northern Ireland,N92000002,2020-09-15,4,1755
nation,Northern Ireland,N92000002,2020-09-14,8,1751
nation,Northern Ireland,N92000002,2020-09-13,6,1743
nation,Northern Ireland,N92000002,2020-09-12,4,1737
nation,Northern Ireland,N92000002,2020-09-11,7,1733
nation,Northern Ireland,N92000002,2020-09-10,7,1726
nation,Northern Ireland,N92000002,2020-09-09,3,1719
nation,Northern Ireland,N92000002,2020-09-08,9,1716
nation,Northern Ireland,N92000002,2020-09-07,1,1707
nation,Northern Ireland,N92000002,2020-09-06,4,1706
nation,Northern Ireland,N92000002,2020-09-05,1,1702
nation,Northern Ireland,N92000002,2020-09-04,2,1701
nation,Northern Ireland,N92000002,2020-09-03,3,1699
nation,Northern Ireland,N92000002,2020-09-02,0,1696
nation,Northern Ireland,N92000002,2020-09-01,4,1696
nation,Northern Ireland,N92000002,2020-08-31,5,1692
nation,Northern Ireland,N92000002,2020-08-30,3,1687
nation,Northern Ireland,N92000002,2020-08-29,2,1684
nation,Northern Ireland,N92000002,2020-08-28,5,1682
nation,Northern Ireland,N92000002,2020-08-27,4,1677
nation,Northern Ireland,N92000002,2020-08-26,0,1673
nation,Northern Ireland,N92000002,2020-08-25,2,1673
nation,Northern Ireland,N92000002,2020-08-24,6,1671
nation,Northern Ireland,N92000002,2020-08-23,3,1665
nation,Northern Ireland,N92000002,2020-08-22,3,1662
nation,Northern Ireland,N92000002,2020-08-21,2,1659
nation,Northern Ireland,N92000002,2020-08-20,6,1657
nation,Northern Ireland,N92000002,2020-08-19,6,1651
nation,Northern Ireland,N92000002,2020-08-18,6,1645
nation,Northern Ireland,N92000002,2020-08-17,6,1639
nation,Northern Ireland,N92000002,2020-08-16,2,1633
nation,Northern Ireland,N92000002,2020-08-15,2,1631
nation,Northern Ireland,N92000002,2020-08-14,2,1629
nation,Northern Ireland,N92000002,2020-08-13,4,1627
nation,Northern Ireland,N92000002,2020-08-12,3,1623
nation,Northern Ireland,N92000002,2020-08-11,2,1620
nation,Northern Ireland,N92000002,2020-08-10,0,1618
nation,Northern Ireland,N92000002,2020-08-09,2,1618
nation,Northern Ireland,N92000002,2020-08-08,5,1616
nation,Northern Ireland,N92000002,2020-08-07,0,1611
nation,Northern Ireland,N92000002,2020-08-06,3,1611
nation,Northern Ireland,N92000002,2020-08-05,1,1608
nation,Northern Ireland,N92000002,2020-08-04,1,1607
nation,Northern Ireland,N92000002,2020-08-03,3,1606
nation,Northern Ireland,N92000002,2020-08-02,1,1603
nation,Northern Ireland,N92000002,2020-08-01,3,1602
nation,Northern Ireland,N92000002,2020-07-31,2,1599
nation,Northern Ireland,N92000002,2020-07-30,1,1597
nation,Northern Ireland,N92000002,2020-07-29,2,1596
nation,Northern Ireland,N92000002,2020-07-28,1,1594
nation,Northern Ireland,N92000002,2020-07-27,2,1593
nation,Northern Ireland,N92000002,2020-07-26,0,1591
nation,Northern Ireland,N92000002,2020-07-25,2,1591
nation,Northern Ireland,N92000002,2020-07-24,3,1589
nation,Northern Ireland,N92000002,2020-07-23,0,1586
nation,Northern Ireland,N92000002,2020-07-22,2,1586
nation,Northern Ireland,N92000002,2020-07-21,0,1584
nation,Northern Ireland,N92000002,2020-07-20,1,1584
nation,Northern Ireland,N92000002,2020-07-19,1,1583
nation,Northern Ireland,N92000002,2020-07-18,2,1582
nation,Northern Ireland,N92000002,2020-07-17,0,1580
nation,Northern Ireland,N92000002,2020-07-16,2,1580
nation,Northern Ireland,N92000002,2020-07-15,1,1578
nation,Northern Ireland,N92000002,2020-07-14,0,1577
nation,Northern Ireland,N92000002,2020-07-13,1,1577
nation,Northern Ireland,N92000002,2020-07-12,0,1576
nation,Northern Ireland,N92000002,2020-07-11,1,1576
nation,Northern Ireland,N92000002,2020-07-10,0,1575
nation,Northern Ireland,N92000002,2020-07-09,3,1575
nation,Northern Ireland,N92000002,2020-07-08,3,1572
nation,Northern Ireland,N92000002,2020-07-07,1,1569
nation,Northern Ireland,N92000002,2020-07-06,1,1568
nation,Northern Ireland,N92000002,2020-07-05,0,1567
nation,Northern Ireland,N92000002,2020-07-04,3,1567
nation,Northern Ireland,N92000002,2020-07-03,1,1564
nation,Northern Ireland,N92000002,2020-07-02,2,1563
nation,Northern Ireland,N92000002,2020-07-01,0,1561
nation,Northern Ireland,N92000002,2020-06-30,2,1561
nation,Northern Ireland,N92000002,2020-06-29,0,1559
nation,Northern Ireland,N92000002,2020-06-28,3,1559
nation,Northern Ireland,N92000002,2020-06-27,0,1556
nation,Northern Ireland,N92000002,2020-06-26,2,1556
nation,Northern Ireland,N92000002,2020-06-25,2,1554
nation,Northern Ireland,N92000002,2020-06-24,1,1552
nation,Northern Ireland,N92000002,2020-06-23,3,1551
nation,Northern Ireland,N92000002,2020-06-22,2,1548
nation,Northern Ireland,N92000002,2020-06-21,4,1546
nation,Northern Ireland,N92000002,2020-06-20,4,1542
nation,Northern Ireland,N92000002,2020-06-19,1,1538
nation,Northern Ireland,N92000002,2020-06-18,1,1537
nation,Northern Ireland,N92000002,2020-06-17,1,1536
nation,Northern Ireland,N92000002,2020-06-16,1,1535
nation,Northern Ireland,N92000002,2020-06-15,0,1534
nation,Northern Ireland,N92000002,2020-06-14,0,1534
nation,Northern Ireland,N92000002,2020-06-13,2,1534
nation,Northern Ireland,N92000002,2020-06-12,2,1532
nation,Northern Ireland,N92000002,2020-06-11,5,1530
nation,Northern Ireland,N92000002,2020-06-10,5,1525
nation,Northern Ireland,N92000002,2020-06-09,5,1520
nation,Northern Ireland,N92000002,2020-06-08,2,1515
nation,Northern Ireland,N92000002,2020-06-07,1,1513
nation,Northern Ireland,N92000002,2020-06-06,3,1512
nation,Northern Ireland,N92000002,2020-06-05,3,1509
nation,Northern Ireland,N92000002,2020-06-04,3,1506
nation,Northern Ireland,N92000002,2020-06-03,3,1503
nation,Northern Ireland,N92000002,2020-06-02,4,1500
nation,Northern Ireland,N92000002,2020-06-01,3,1496
nation,Northern Ireland,N92000002,2020-05-31,4,1493
nation,Northern Ireland,N92000002,2020-05-30,5,1489
nation,Northern Ireland,N92000002,2020-05-29,6,1484
nation,Northern Ireland,N92000002,2020-05-28,6,1478
nation,Northern Ireland,N92000002,2020-05-27,6,1472
nation,Northern Ireland,N92000002,2020-05-26,10,1466
nation,Northern Ireland,N92000002,2020-05-25,9,1456
nation,Northern Ireland,N92000002,2020-05-24,4,1447
nation,Northern Ireland,N92000002,2020-05-23,4,1443
nation,Northern Ireland,N92000002,2020-05-22,5,1439
nation,Northern Ireland,N92000002,2020-05-21,8,1434
nation,Northern Ireland,N92000002,2020-05-20,5,1426
nation,Northern Ireland,N92000002,2020-05-19,10,1421
nation,Northern Ireland,N92000002,2020-05-18,11,1411
nation,Northern Ireland,N92000002,2020-05-17,12,1400
nation,Northern Ireland,N92000002,2020-05-16,7,1388
nation,Northern Ireland,N92000002,2020-05-15,11,1381
nation,Northern Ireland,N92000002,2020-05-14,13,1370
nation,Northern Ireland,N92000002,2020-05-13,16,1357
nation,Northern Ireland,N92000002,2020-05-12,10,1341
nation,Northern Ireland,N92000002,2020-05-11,22,1331
nation,Northern Ireland,N92000002,2020-05-10,18,1309
nation,Northern Ireland,N92000002,2020-05-09,19,1291
nation,Northern Ireland,N92000002,2020-05-08,7,1272
nation,Northern Ireland,N92000002,2020-05-07,12,1265
nation,Northern Ireland,N92000002,2020-05-06,17,1253
nation,Northern Ireland,N92000002,2020-05-05,11,1236
nation,Northern Ireland,N92000002,2020-05-04,13,1225
nation,Northern Ireland,N92000002,2020-05-03,10,1212
nation,Northern Ireland,N92000002,2020-05-02,12,1202
nation,Northern Ireland,N92000002,2020-05-01,19,1190
nation,Northern Ireland,N92000002,2020-04-30,27,1171
nation,Northern Ireland,N92000002,2020-04-29,17,1144
nation,Northern Ireland,N92000002,2020-04-28,11,1127
nation,Northern Ireland,N92000002,2020-04-27,23,1116
nation,Northern Ireland,N92000002,2020-04-26,11,1093
nation,Northern Ireland,N92000002,2020-04-25,19,1082
nation,Northern Ireland,N92000002,2020-04-24,22,1063
nation,Northern Ireland,N92000002,2020-04-23,23,1041
nation,Northern Ireland,N92000002,2020-04-22,27,1018
nation,Northern Ireland,N92000002,2020-04-21,31,991
nation,Northern Ireland,N92000002,2020-04-20,33,960
nation,Northern Ireland,N92000002,2020-04-19,22,927
nation,Northern Ireland,N92000002,2020-04-18,15,905
nation,Northern Ireland,N92000002,2020-04-17,32,890
nation,Northern Ireland,N92000002,2020-04-16,33,858
nation,Northern Ireland,N92000002,2020-04-15,23,825
nation,Northern Ireland,N92000002,2020-04-14,22,802
nation,Northern Ireland,N92000002,2020-04-13,17,780
nation,Northern Ireland,N92000002,2020-04-12,22,763
nation,Northern Ireland,N92000002,2020-04-11,22,741
nation,Northern Ireland,N92000002,2020-04-10,20,719
nation,Northern Ireland,N92000002,2020-04-09,33,699
nation,Northern Ireland,N92000002,2020-04-08,32,666
nation,Northern Ireland,N92000002,2020-04-07,39,634
nation,Northern Ireland,N92000002,2020-04-06,42,595
nation,Northern Ireland,N92000002,2020-04-05,29,553
nation,Northern Ireland,N92000002,2020-04-04,41,524
nation,Northern Ireland,N92000002,2020-04-03,44,483
nation,Northern Ireland,N92000002,2020-04-02,44,439
nation,Northern Ireland,N92000002,2020-04-01,45,395
nation,Northern Ireland,N92000002,2020-03-31,43,350
nation,Northern Ireland,N92000002,2020-03-30,35,307
nation,Northern Ireland,N92000002,2020-03-29,34,272
nation,Northern Ireland,N92000002,2020-03-28,37,238
nation,Northern Ireland,N92000002,2020-03-27,30,201
nation,Northern Ireland,N92000002,2020-03-26,28,171
nation,Northern Ireland,N92000002,2020-03-25,29,143
nation,Northern Ireland,N92000002,2020-03-24,15,114
nation,Northern Ireland,N92000002,2020-03-23,18,99
nation,Northern Ireland,N92000002,2020-03-22,10,81
nation,Northern Ireland,N92000002,2020-03-21,15,71
nation,Northern Ireland,N92000002,2020-03-20,12,56
nation,Northern Ireland,N92000002,2020-03-19,5,44
nation,Northern Ireland,N92000002,2020-03-18,8,39
nation,Northern Ireland,N92000002,2020-03-17,5,31
nation,Northern Ireland,N92000002,2020-03-16,4,26
nation,Northern Ireland,N92000002,2020-03-15,1,22
nation,Northern Ireland,N92000002,2020-03-14,2,21
nation,Northern Ireland,N92000002,2020-03-13,2,19
nation,Northern Ireland,N92000002,2020-03-12,3,17
nation,Northern Ireland,N92000002,2020-03-11,4,14
nation,Northern Ireland,N92000002,2020-03-10,4,10
nation,Northern Ireland,N92000002,2020-03-09,1,6
nation,Northern Ireland,N92000002,2020-03-08,0,5
nation,Northern Ireland,N92000002,2020-03-07,0,5
nation,Northern Ireland,N92000002,2020-03-06,3,5
nation,Northern Ireland,N92000002,2020-03-05,1,2
nation,Northern Ireland,N92000002,2020-03-04,0,1
nation,Northern Ireland,N92000002,2020-03-03,0,1
nation,Northern Ireland,N92000002,2020-03-02,1,1
